P0DP24,Q72874
P10619,P06428
P10619,P24835
P10619,Q5NF74
P10619,Q7CGS9
P10619,Q7CKL8
P10619,Q8ZIL4
P13196,P32902
P13196,P48837
P13196,P53829
P13196,Q02821
P15531,P32502
P15531,P38340
P15531,P40454
P19012,P32502
P19012,P40454
P19012,P47041
P19012,P48837
P19012,Q03020
P20591,P32502
P20591,P38340
P20591,Q02821
P21333,P03129
P21333,P04591
P21333,P06428
P21333,P88988
P21333,Q20MH0
P21333,Q81NS9
P21333,Q9J0X9
P21912,A6YJF2
P21912,P03182
P21912,P03496
P21912,P03508
P21912,P0C6Z1
P21912,P24835
P21912,P27958
P21912,Q0A2H0
P21912,Q0A2H1
P21912,Q20MH4
P21912,Q2PJP0
P21912,Q2PJP1
P21912,Q3SBS5
P21912,Q6DP93
P21912,Q6DP94
P22314,P0CG63
P25445,A0A075C673
P25445,P03246
P25445,P06460
P25445,P06792
P25445,P0C739
P25445,P0CK49
P25445,P0CK56
P25445,Q2MG95
P35637,P31539
P35638,P40454
P36507,P03126
P36507,P06929
P36507,P24835
P38606,C5E519
P38606,F5HFG5
P38606,P06821
P38606,Q20MH8
P38646,P04601
P38646,P38340
P38646,Q20MH0
P40939,P03126
P40939,P05919
P40939,P06929
P40939,P06930
P40939,P0DOE9
P40939,Q77M19
P40939,Q81S14
P50542,P03508
P50542,Q5NG93
P50542,Q81LY0
P50542,Q81Z98
P51532,P04296
P51532,P04608
P51532,P14079
P51532,P15682
P51532,Q05322
P54727,P0DOE9
P54727,P22141
P54727,P33299
P54727,P38886
P54760,K9UT94
P54760,P0CK58
P54760,P29996
P55265,O56264
P55265,O92551
P55265,P03496
P55265,P04608
P55265,P04618
P55265,P21605
P55265,P24835
P55265,Q0A2H0
P55265,Q0HD54
P55265,Q20MH3
P55265,Q2PJP0
P55265,Q3SBS4
P55265,Q6DP93
P55265,Q7CJF5
P55265,Q99AU3
P61978,A0A075C673
P61978,D1LN35
P61978,O56264
P61978,P03129
P61978,P03225
P61978,P03496
P61978,P06430
P61978,P0C742
P61978,P10238
P61978,P21605
P61978,Q05322
P61978,Q20MH0
P61978,Q6QDQ4
P61978,Q77M19
P61978,Q8AZK7
P61978,Q99AU3
P61978,Q9J0X9
P61978,Q9WPI5
P63261,P38340
P63261,P60010
P63261,Q02821
P63279,P32502
P63279,P32562
P63279,P38340
P63279,P40956
P63279,P50623
P63279,P53286
P63279,P60010
P67775,P06782
P78347,O36551
P78347,P03431
P78347,Q5NF37
P78347,Q81Y15
P78347,Q8D192
P78347,Q8JPQ9
P78347,Q8JSN5
P78347,Q8JSN8
P78504,Q8ZCW0
P78504,Q8ZEV7
P78504,Q91B85
P82650,B4URF7
P82650,C5E522
P82650,I6TAH8
P82650,P03177
P82650,P03428
P82650,P03466
P82650,P27958
P82650,Q1HVD1
P82650,Q1K9H2
P82650,Q5EP28
Q00325,B4URE7
Q00325,O92835
Q00325,P03427
Q00325,P03430
Q00325,P03454
Q00325,P03470
